x,y
0.0221490602,-1.092253768
0.05181696705,-2.548593388
0.08158076864,-4.004932279
0.1113759765,-5.461268255
0.1411378835,-6.917599131
0.1708017826,-8.37392272
0.2003031853,-9.83023669
0.2295773845,-11.28653893
0.258559746,-12.74282718
0.2871856356,-14.19909917
0.3153904191,-15.65535266
0.3431094622,-17.11158553
0.3702898626,-18.56779508
0.4024438914,-20.02373954
0.4595317169,-21.47855745
0.5638277327,-22.93128775
0.7370527519,-24.37941999
0.9983207954,-25.81314726
1.365979237,-27.22051717
1.856743489,-28.58907135
2.476792789,-29.90317904
3.217762651,-31.15451474
4.052024463,-32.35068561
4.965535548,-33.48905163
5.955192662,-34.55860822
7.018062272,-35.54851061
8.150400111,-36.45400035
9.347738694,-37.27574738
10.60556055,-38.01444747
11.91795299,-38.66161326
13.27689869,-39.19489955
14.67420132,-39.5909464
16.10108385,-39.84382963
17.54761889,-39.98216762
19.00374398,-40.03864364
20.46125051,-40.04330168
21.91846638,-40.0168802
23.37515963,-39.97806805
24.83117979,-39.94273637
26.28676595,-39.91331185
27.7422732,-39.88821512
29.19805654,-39.86586625
30.65447114,-39.84468547
32.11187216,-39.82309268
33.57036934,-39.79790108
35.02692166,-39.74528023
36.47630345,-39.62708611
37.91306874,-39.40595329
39.32837051,-39.06508169
40.71028882,-38.60625358
42.04690678,-38.03201114
43.3298669,-37.34776601
44.55499303,-36.56230099
45.71834829,-35.68459165
46.81599563,-34.7236134
47.84399811,-33.68834187
48.79841449,-32.58774737
49.67294174,-31.42789867
50.45497043,-30.20711711
51.13085029,-28.92244531
51.69170208,-27.57510587
52.15133151,-26.18639419
52.50569134,-24.77363515
52.71952843,-23.33936225
52.80075142,-21.88964323
52.79230925,-20.43218669
52.76640573,-18.97371975
52.750607,-17.51665115
52.73835826,-16.06041457
52.72261295,-14.60439819
52.70055847,-13.1483123
52.67325536,-11.69216119
52.64190711,-10.23596024
52.60771685,-8.779724749
52.57188792,-7.323469947
52.53562106,-5.867211139
52.49974113,-4.410958815
52.46430722,-2.954713487
52.4292848,-1.498474571
52.39463955,-0.04224148441
52.36033714,1.413986283
52.32634312,2.870209459
52.29262315,4.326428555
52.25914284,5.782644153
52.22586781,7.238856836
52.19276372,8.695067333
52.15979619,10.15127601
52.12693075,11.60748366
52.09413314,13.06369081
52.06136892,14.51989803
52.02860374,15.9761059
51.99580322,17.43231501
51.96293305,18.88852602
51.92995866,20.34473951
51.89684591,21.80095598
51.86356023,23.25717617
51.83006732,24.71340051
51.79633285,26.16962973
51.76232243,27.62586435
51.72800166,29.08210494
51.69333615,30.53835216
51.65835184,31.99460587
51.62323987,33.45086417
51.58821986,34.90712473
51.55351135,36.36338536
51.51933406,37.81964366
51.48590746,39.27589751
51.45345125,40.73214452
51.4221849,42.18838249
51.39232805,43.64460909
51.36410031,45.10082206
51.33772117,46.55701915
51.3134104,48.0131981
51.29084293,49.46934294
51.25838343,50.92515368
51.19372102,52.38006187
51.07413876,53.83341382
50.87764717,55.27962445
50.58342121,56.70521603
50.17079892,58.09601896
49.62880298,59.44072932
48.96685592,60.73407966
48.1969625,61.9715668
47.33112764,63.14868756
46.3813561,64.26093851
45.35965288,65.30381654
44.27617902,66.27266232
43.13168681,67.16202046
41.92393512,67.96618226
40.65150659,68.6785247
39.32098043,69.28356866
37.94342481,69.76086313
36.52992646,70.09208295
35.09113579,70.28935846
33.63738263,70.38719732
32.17886192,70.42038018
30.72127742,70.41508236
29.26475315,70.38678809
27.80906373,70.35023945
26.35390735,70.31509082
24.89885815,70.28273873
23.44347894,70.25382429
21.98733249,70.2289885
20.52998175,70.20887246
19.07098943,70.19411714
17.61116423,70.17704459
16.15608647,70.11811072
14.71247921,69.97014223
13.28725794,69.6938405
11.88833755,69.29076769
10.52395588,68.77569776
9.202143163,68.16220683
7.929455512,67.45533316
6.711812312,66.65642568
5.555937562,65.76672899
4.480066856,64.78620949
3.502755897,63.71668226
2.611529407,62.57058404
1.800297488,61.35928192
1.076628683,60.09057353
0.4486537856,58.77210985
-0.07549648097,57.41154159
-0.487691322,56.01651966
-0.7798575814,54.59469413
-0.9546775428,53.15356198
-1.038159738,51.70028837
-1.059367631,50.24199508
-1.044465837,48.78445853
-1.008345876,47.32822318
-0.9631586887,45.8725616
-0.9194600562,44.41684173
-0.8793988653,42.96093392
-0.8423643338,41.50487324
-0.8077441489,40.04869495
-0.7749258523,38.59243432
-0.7432971313,37.13612647
-0.7122676067,35.67980551
-0.6815673012,34.22348593
-0.6511685978,32.76716802
-0.6210496359,31.31085157
-0.5911887008,29.85453629
-0.5615641507,28.39822203
-0.5321541977,26.9419085
-0.5029372001,25.48559562
-0.4738912974,24.02928318
-0.4449947748,22.57297089
-0.4162259904,21.11665852
-0.3875632294,19.66034601
-0.3589847042,18.20403298
-0.3304686272,16.74771938
-0.3019933564,15.2914049
-0.2735371772,13.8350894
-0.2450783747,12.37877258
-0.2165950884,10.92245439
-0.1880657494,9.466134442
-0.159468497,8.009812675
-0.1307816895,6.553488795
-0.101983612,5.097162583
-0.07305247689,3.640833893
-0.04396656946,2.18450258
-0.01470417491,0.7281682797